iter	Passed	Remaining
0	31	78060
1	52	64970
2	75	62850
3	94	59072
4	115	57796
5	137	57111
6	160	57054
7	183	57116
8	206	57259
9	230	57381
10	254	57612
11	276	57416
12	297	57005
13	318	56598
14	339	56187
15	358	55635
16	376	55028
17	395	54496
18	413	54003
19	433	53758
20	452	53383
21	473	53312
22	491	52909
23	511	52739
24	530	52486
25	548	52219
26	566	51915
27	584	51590
28	601	51284
29	620	51097
30	643	51215
31	662	51120
32	682	51008
33	705	51174
34	724	50991
35	741	50775
36	765	50959
37	789	51179
38	812	51252
39	834	51326
40	856	51382
41	876	51271
42	894	51122
43	913	51007
44	932	50859
45	949	50678
46	971	50701
47	990	50605
48	1009	50501
49	1030	50471
50	1050	50456
51	1068	50311
52	1088	50268
53	1108	50210
54	1128	50164
55	1147	50076
56	1168	50073
57	1188	50021
58	1207	49953
59	1230	50045
60	1250	49991
61	1269	49917
62	1289	49897
63	1312	49974
64	1331	49867
65	1348	49722
66	1366	49639
67	1387	49627
68	1406	49537
69	1425	49489
70	1445	49443
71	1465	49436
72	1485	49380
73	1504	49307
74	1522	49228
75	1540	49128
76	1558	49028
77	1576	48950
78	1599	49010
79	1619	48979
80	1639	48955
81	1661	48994
82	1680	48933
83	1702	48957
84	1723	48974
85	1746	49012
86	1769	49064
87	1788	49033
88	1809	49026
89	1829	48979
90	1849	48972
91	1869	48932
92	1889	48907
93	1908	48845
94	1927	48799
95	1946	48734
96	1966	48708
97	1985	48655
98	2006	48655
99	2024	48595
100	2045	48585
101	2067	48614
102	2087	48589
103	2106	48529
104	2125	48471
105	2144	48423
106	2161	48351
107	2183	48357
108	2207	48425
109	2225	48364
110	2244	48302
111	2266	48328
112	2285	48289
113	2305	48251
114	2324	48198
115	2345	48195
116	2364	48162
117	2384	48143
118	2403	48093
119	2423	48058
120	2443	48043
121	2463	48022
122	2484	48005
123	2502	47947
124	2523	47947
125	2543	47916
126	2563	47890
127	2582	47854
128	2603	47852
129	2623	47834
130	2644	47816
131	2663	47776
132	2683	47760
133	2705	47765
134	2729	47817
135	2750	47815
136	2770	47790
137	2791	47777
138	2811	47760
139	2832	47751
140	2855	47772
141	2875	47751
142	2898	47769
143	2922	47814
144	2945	47831
145	2968	47855
146	2990	47868
147	3011	47865
148	3034	47886
149	3058	47915
150	3078	47892
151	3097	47847
152	3121	47877
153	3142	47865
154	3161	47827
155	3183	47828
156	3203	47802
157	3222	47770
158	3242	47741
159	3264	47749
160	3284	47721
161	3306	47720
162	3329	47729
163	3351	47735
164	3371	47717
165	3394	47723
166	3413	47693
167	3434	47681
168	3455	47661
169	3475	47629
170	3495	47611
171	3521	47661
172	3546	47704
173	3567	47690
174	3587	47660
175	3610	47669
176	3632	47675
177	3656	47692
178	3676	47672
179	3699	47685
180	3722	47694
181	3745	47703
182	3765	47675
183	3784	47637
184	3805	47622
185	3826	47603
186	3846	47571
187	3867	47564
188	3887	47533
189	3908	47513
190	3930	47513
191	3950	47483
192	3969	47452
193	3990	47428
194	4011	47421
195	4031	47387
196	4050	47354
197	4074	47365
198	4093	47332
199	4116	47338
200	4135	47306
201	4156	47290
202	4176	47255
203	4198	47255
204	4217	47218
205	4238	47194
206	4258	47173
207	4278	47147
208	4302	47160
209	4322	47139
210	4341	47101
211	4360	47059
212	4382	47053
213	4404	47047
214	4424	47028
215	4446	47015
216	4469	47026
217	4490	47004
218	4509	46967
219	4532	46971
220	4551	46939
221	4571	46914
222	4594	46911
223	4614	46885
224	4634	46859
225	4658	46876
226	4678	46845
227	4698	46822
228	4720	46808
229	4738	46771
230	4761	46768
231	4787	46797
232	4807	46776
233	4826	46734
234	4847	46722
235	4869	46718
236	4891	46711
237	4912	46687
238	4933	46672
239	4951	46622
240	4971	46596
241	4992	46578
242	5011	46546
243	5033	46538
244	5052	46500
245	5072	46473
246	5102	46539
247	5125	46546
248	5148	46541
249	5168	46517
250	5191	46515
251	5214	46515
252	5235	46497
253	5255	46472
254	5276	46457
255	5297	46436
256	5319	46423
257	5338	46390
258	5358	46365
259	5380	46353
260	5401	46336
261	5419	46290
262	5436	46241
263	5455	46204
264	5475	46179
265	5495	46153
266	5513	46114
267	5535	46103
268	5555	46074
269	5576	46058
270	5596	46031
271	5615	45995
272	5634	45965
273	5655	45946
274	5675	45915
275	5693	45877
276	5711	45836
277	5730	45801
