iter	MultiClass
0	1.319527047
1	1.272193196
2	1.237282461
3	1.210877524
4	1.190539458
5	1.174884883
6	1.162061265
7	1.152012897
8	1.144196734
9	1.137902712
10	1.132588362
11	1.128180416
12	1.124795141
13	1.121836361
14	1.119682917
15	1.117546003
16	1.115758311
17	1.114103718
18	1.112782161
19	1.111544696
20	1.110517634
21	1.109553953
22	1.108652715
23	1.107841624
24	1.107086412
25	1.106474191
26	1.105747474
27	1.105167949
28	1.10456866
29	1.1041346
30	1.103461659
31	1.102843236
32	1.102406615
33	1.102022326
34	1.101666183
35	1.10122475
36	1.100816845
37	1.100459002
38	1.099965836
39	1.099609709
40	1.099335904
41	1.099011759
42	1.098666287
43	1.098292842
44	1.097916925
45	1.097531085
46	1.097266917
47	1.097010016
48	1.096636091
49	1.096307267
50	1.096039837
51	1.095628851
52	1.095440403
53	1.095172687
54	1.094879331
55	1.094582955
56	1.094210903
57	1.093969913
58	1.093743825
59	1.093403157
60	1.093172756
61	1.09300154
62	1.092714202
63	1.092507296
64	1.092217816
65	1.092019267
66	1.09174223
67	1.091530782
68	1.091381546
69	1.091136241
70	1.09101103
71	1.090785012
72	1.090678366
73	1.090562068
74	1.090399824
75	1.090168235
76	1.090010375
77	1.089847221
78	1.089600221
79	1.089398737
80	1.089192165
81	1.089023986
82	1.088761401
83	1.088602573
84	1.088431654
85	1.088292267
86	1.088141012
87	1.087908366
88	1.087707107
89	1.087506371
90	1.087307078
91	1.087100424
92	1.086954829
93	1.086684875
94	1.086492245
95	1.086308803
96	1.086099353
97	1.08582114
98	1.085655176
99	1.085442119
100	1.085257807
101	1.085085562
102	1.084887983
103	1.084782169
104	1.084537155
105	1.08425266
106	1.084102589
107	1.08396962
108	1.083683879
109	1.083579288
110	1.083359859
111	1.083141277
112	1.082968641
113	1.082745797
114	1.0826001
115	1.082451418
116	1.082270799
117	1.082092813
118	1.081834618
119	1.081598747
120	1.081378652
121	1.08126264
122	1.081082434
123	1.080916062
124	1.080734822
125	1.080596053
126	1.080433686
127	1.080208681
128	1.080064175
129	1.079956098
130	1.079836751
131	1.079698444
132	1.079585768
133	1.079440208
134	1.079293668
135	1.079086386
136	1.078864942
137	1.07868193
138	1.078476334
139	1.07832102
140	1.07815107
141	1.07792902
142	1.077771778
143	1.077590775
144	1.077469027
145	1.077311245
146	1.07715651
147	1.0770294
148	1.076926469
149	1.076769298
150	1.076629124
151	1.076445758
152	1.076355195
153	1.07619615
154	1.076032599
155	1.07595553
156	1.075746365
157	1.075653867
158	1.075483986
159	1.075304913
160	1.075127113
161	1.075010341
162	1.074922971
163	1.074722408
164	1.074616699
165	1.074434556
166	1.07436089
167	1.074212968
168	1.074142345
169	1.074000977
170	1.073900932
171	1.073756545
172	1.073670365
173	1.073606315
174	1.073464832
175	1.073333394
176	1.073210834
177	1.073062022
178	1.072955882
179	1.072863943
180	1.07268314
181	1.072571176
182	1.072503743
183	1.072411471
184	1.072300785
185	1.072148868
186	1.071983606
187	1.071897127
188	1.071747734
189	1.071617282
190	1.071479144
191	1.071420548
192	1.071295362
193	1.071178195
194	1.071025055
195	1.070892228
196	1.070740458
197	1.070647671
198	1.070447936
199	1.070298746
200	1.070186123
201	1.070039861
202	1.069923553
203	1.069836512
204	1.069806379
205	1.069684911
206	1.069600236
207	1.069519627
208	1.069404517
209	1.069301768
210	1.069128224
211	1.069044752
212	1.068902921
213	1.068804661
214	1.068749687
215	1.068639339
216	1.068486414
217	1.068368447
218	1.068261218
219	1.068107117
220	1.068064332
221	1.067980374
222	1.067834383
223	1.067764691
224	1.067669205
225	1.067585
226	1.067499323
227	1.067376781
228	1.067302696
229	1.067201439
230	1.067111415
231	1.067001391
232	1.066939815
233	1.066855566
234	1.06677217
235	1.066676478
236	1.06656728
237	1.066433628
238	1.066262593
239	1.066149346
240	1.066028759
241	1.065924319
242	1.065853081
243	1.065795955
244	1.065681189
245	1.065523424
246	1.065380973
247	1.065284512
248	1.065168622
249	1.065104686
250	1.065061702
251	1.064968589
252	1.064866535
253	1.064720683
254	1.064632072
255	1.064494361
256	1.064413795
257	1.064322873
258	1.064234474
259	1.06412353
260	1.064001492
261	1.063895489
262	1.063756537
263	1.063663743
264	1.063521955
265	1.063422953
266	1.063371936
267	1.063290327
268	1.063212076
269	1.063122572
270	1.063055771
271	1.062972822
272	1.062821831
273	1.062702252
274	1.062604383
275	1.06250764
276	1.062404299
277	1.062325226
278	1.062198821
279	1.062119344
280	1.062050235
281	1.061992301
282	1.061902099
283	1.061824136
284	1.061696958
285	1.061570595
286	1.0614434
287	1.061353269
288	1.061258578
289	1.061102892
290	1.060988401
291	1.060892407
292	1.060828007
293	1.060755212
294	1.060630655
295	1.060524459
296	1.060411209
297	1.060260766
298	1.060143507
299	1.06005271
300	1.059993591
301	1.05993798
302	1.059792571
303	1.059650516
304	1.059612583
305	1.059520739
306	1.059445166
307	1.059370359
308	1.059284416
309	1.059179508
310	1.059084669
311	1.058947803
312	1.058920285
313	1.058797125
314	1.058658022
315	1.058592693
316	1.058533706
317	1.058478627
318	1.058344306
319	1.058273408
320	1.058225919
321	1.058116489
322	1.058015133
323	1.057938062
324	1.05785747
325	1.057757244
326	1.057693733
327	1.057582778
328	1.057520389
329	1.057377901
330	1.057259419
331	1.057183534
332	1.05710927
333	1.056972526
334	1.056847362
335	1.056749344
336	1.056669812
337	1.056530696
338	1.056416687
339	1.056376429
340	1.056262799
341	1.056140137
342	1.056084724
343	1.055985
344	1.05590534
345	1.05583476
346	1.055770597
347	1.055681932
348	1.055532679
349	1.055447583
350	1.055351788
351	1.055298004
352	1.055206172
353	1.055140992
354	1.055074412
355	1.055009215
356	1.054971439
357	1.054840746
358	1.054748995
359	1.054630915
360	1.054532229
361	1.054415204
362	1.054306127
363	1.054213716
364	1.054165764
365	1.054051092
366	1.053950223
367	1.053870382
