iter	Passed	Remaining
0	43	43819
1	84	42032
2	123	41045
3	164	40971
4	207	41325
5	243	40284
6	285	40568
7	324	40266
8	368	40601
9	406	40277
10	453	40789
11	493	40660
12	537	40814
13	584	41189
14	624	40993
15	668	41131
16	715	41359
17	769	41991
18	834	43084
19	900	44145
20	969	45218
21	1025	45610
22	1073	45596
23	1123	45689
24	1171	45701
25	1219	45697
26	1266	45633
27	1317	45743
28	1365	45717
29	1416	45802
30	1465	45795
31	1515	45857
32	1563	45804
33	1604	45594
34	1652	45570
35	1701	45573
36	1754	45653
37	1804	45684
38	1849	45577
39	1894	45473
40	1943	45468
41	1994	45502
42	2036	45319
43	2083	45262
44	2127	45143
45	2171	45043
46	2215	44931
47	2268	44997
48	2313	44897
49	2364	44918
50	2409	44828
51	2450	44671
52	2493	44556
53	2540	44498
54	2594	44579
55	2642	44538
56	2683	44394
57	2732	44379
58	2783	44387
59	2831	44356
60	2872	44221
61	2914	44086
62	2959	44011
63	2998	43853
64	3046	43818
65	3086	43677
66	3138	43710
67	3181	43606
68	3231	43600
69	3280	43586
70	3327	43542
71	3367	43408
72	3412	43331
73	3458	43280
74	3499	43166
75	3542	43068
76	3590	43036
77	3631	42928
78	3676	42863
79	3721	42796
80	3770	42781
81	3831	42898
82	3891	42990
83	3940	42966
84	3987	42926
85	4026	42791
86	4080	42822
87	4153	43049
88	4223	43235
89	4279	43266
90	4325	43208
91	4371	43148
92	4415	43060
93	4465	43036
94	4511	42980
95	4558	42923
96	4606	42879
97	4649	42797
98	4693	42713
99	4733	42602
100	4778	42529
101	4822	42460
102	4864	42360
103	4908	42291
104	4949	42185
105	4997	42145
106	5053	42175
107	5096	42094
108	5150	42102
109	5196	42043
110	5242	41988
111	5301	42030
112	5343	41947
113	5388	41876
114	5438	41852
115	5491	41847
116	5532	41752
117	5575	41675
118	5619	41602
119	5672	41598
120	5721	41566
121	5772	41539
122	5810	41426
123	5854	41357
124	5894	41260
125	5942	41223
126	5986	41149
127	6027	41060
128	6075	41019
129	6121	40966
130	6164	40894
131	6204	40796
132	6249	40741
133	6291	40660
134	6345	40657
135	6394	40620
136	6437	40551
137	6485	40511
138	6530	40449
139	6574	40386
140	6619	40327
141	6661	40252
142	6713	40233
143	6757	40170
144	6808	40147
145	6855	40102
146	6905	40072
147	6952	40026
148	7003	40001
149	7048	39939
150	7098	39910
151	7140	39837
152	7191	39812
153	7243	39790
154	7300	39799
155	7346	39746
156	7394	39705
157	7438	39642
158	7492	39629
159	7539	39580
160	7588	39543
161	7653	39588
162	7705	39569
163	7749	39501
164	7788	39414
165	7832	39349
166	7873	39275
167	7918	39216
168	7963	39159
169	8011	39116
170	8052	39040
171	8096	38974
172	8140	38914
173	8185	38855
174	8237	38833
175	8294	38833
