iter	MultiClass
0	1.319693791
1	1.272420589
2	1.237534434
3	1.211193129
4	1.190862123
5	1.175190654
6	1.162377007
7	1.152334677
8	1.144293356
9	1.137783376
10	1.132491432
11	1.128065131
12	1.124854191
13	1.122324756
14	1.120059503
15	1.117744388
16	1.115761353
17	1.114257125
18	1.112825628
19	1.111627827
20	1.110638906
21	1.109615246
22	1.108644039
23	1.107761129
24	1.107250927
25	1.106434067
26	1.105826243
27	1.105402747
28	1.104746341
29	1.104294468
30	1.103697658
31	1.103223952
32	1.102755947
33	1.102129509
34	1.101706296
35	1.101340928
36	1.10111439
37	1.100806303
38	1.100442512
39	1.100054578
40	1.099775274
41	1.099502244
42	1.099041859
43	1.098648486
44	1.098306027
45	1.098049404
46	1.097691091
47	1.0973038
48	1.096906097
49	1.096628861
50	1.09640786
51	1.096042162
52	1.095711269
53	1.095381612
54	1.095015114
55	1.094695851
56	1.094432145
57	1.094211478
58	1.093894148
59	1.093561737
60	1.093301272
61	1.0931528
62	1.092825566
63	1.092575882
64	1.092175088
65	1.091870008
66	1.091559951
67	1.091359557
68	1.091139978
69	1.090844891
70	1.090528089
71	1.090254275
72	1.090028506
73	1.089804235
74	1.089531829
75	1.089295381
76	1.089168419
77	1.088959324
78	1.088756313
79	1.088563661
80	1.088404404
81	1.088173671
82	1.087985076
83	1.08783758
84	1.087600224
85	1.087345954
86	1.08708128
87	1.086925244
88	1.086754855
89	1.086625149
90	1.086354241
91	1.086125119
92	1.085984259
93	1.085759188
94	1.085618554
95	1.085432824
96	1.085116437
97	1.084867546
98	1.084702949
99	1.084414937
100	1.084211493
101	1.083980988
102	1.083805068
103	1.083570878
104	1.08336423
105	1.083139496
106	1.082917163
107	1.082705663
108	1.08241731
109	1.082215205
110	1.082042284
111	1.081798526
112	1.081529339
113	1.081402049
114	1.081236563
115	1.081044319
116	1.080883112
117	1.08075837
118	1.080564252
119	1.080345734
120	1.08007778
121	1.079890459
122	1.079784769
123	1.079682889
124	1.079498113
125	1.079337271
126	1.079197516
127	1.079024049
128	1.078865857
129	1.078761012
130	1.078621985
131	1.07845813
132	1.078325963
133	1.078172542
134	1.078063408
135	1.077922484
136	1.077729847
137	1.077562177
138	1.077423289
139	1.077208955
140	1.077076718
141	1.076945867
142	1.07680178
143	1.07668828
144	1.076516307
145	1.076263996
146	1.076108647
147	1.075906494
148	1.075769249
149	1.075651468
150	1.075411217
151	1.075316691
152	1.075145201
153	1.07505578
154	1.074841229
155	1.074616809
156	1.074448837
157	1.074283292
158	1.074168249
159	1.0740376
160	1.073965343
161	1.073871743
162	1.073689992
163	1.073571864
164	1.073443052
165	1.073318629
166	1.073226693
167	1.073001703
168	1.072915989
169	1.072838592
170	1.072708148
171	1.072636511
172	1.072443316
173	1.072284266
174	1.072190828
175	1.072047747
176	1.071965953
177	1.071867656
178	1.071780573
179	1.07158735
180	1.071459313
181	1.071267865
182	1.071149598
183	1.071067585
184	1.070933694
185	1.070814898
186	1.070650227
187	1.070506287
188	1.070367002
189	1.070253217
190	1.070081164
191	1.069936223
192	1.069808567
193	1.069647655
194	1.069603718
195	1.069539496
196	1.069465558
197	1.069370842
198	1.069218433
199	1.069089123
200	1.068960584
201	1.068724027
202	1.068612324
203	1.068490424
204	1.068292727
205	1.068223015
206	1.068054764
207	1.067929998
208	1.067789908
209	1.067673687
210	1.067599883
211	1.067443107
212	1.06728695
213	1.067069886
214	1.066951926
215	1.066908686
216	1.06680813
217	1.06667436
218	1.066499882
219	1.066378035
220	1.066263333
221	1.066159974
222	1.06596047
223	1.065809765
224	1.06567976
225	1.065581656
226	1.065475208
227	1.065369014
228	1.065253247
229	1.065153707
230	1.065042292
231	1.064954106
232	1.064901651
233	1.064821463
234	1.064739679
235	1.064562626
236	1.064481297
237	1.064388529
238	1.064189243
239	1.064053897
240	1.063941348
241	1.063806266
242	1.063594306
243	1.063470828
244	1.063394274
245	1.063308172
246	1.063157965
247	1.06303777
248	1.062885001
249	1.06279599
250	1.062671181
251	1.062534513
252	1.062391949
253	1.062194178
254	1.062123634
255	1.062037472
256	1.061879431
257	1.061701809
258	1.061538231
259	1.061376508
260	1.061248736
261	1.061162678
262	1.061007436
263	1.060886169
264	1.060805898
265	1.060692751
266	1.060613178
267	1.060557504
268	1.060459036
269	1.060445829
270	1.060388737
271	1.060360102
272	1.060263038
273	1.060164665
274	1.060009571
275	1.059882388
276	1.059837656
277	1.059784567
278	1.059706882
279	1.059648853
280	1.059588306
281	1.05941646
282	1.059282155
283	1.059243743
284	1.059155442
285	1.059033671
286	1.058924474
287	1.058813493
288	1.058607996
289	1.058491236
290	1.058351532
291	1.058273714
292	1.058208516
293	1.058060719
294	1.057948925
295	1.057851285
296	1.057804409
297	1.057703988
298	1.057582609
299	1.05750161
300	1.057391353
301	1.05732496
302	1.057218589
303	1.057081307
304	1.056977131
305	1.05686986
306	1.05682444
307	1.056770595
308	1.056611147
309	1.056480016
310	1.056402823
311	1.056252705
312	1.056202677
313	1.056035069
314	1.055965186
315	1.05589894
316	1.055772199
317	1.055629354
318	1.055517084
319	1.055453482
320	1.055364322
321	1.055270478
322	1.0551389
