iter	Passed	Remaining
0	48	48663
1	68	34155
2	87	29112
3	106	26470
4	126	25208
5	144	23902
6	164	23286
7	185	22959
8	207	22817
9	231	22916
10	253	22835
11	278	22970
12	300	22803
13	320	22549
14	344	22616
15	372	22893
16	398	23016
17	421	22998
18	447	23110
19	475	23286
20	498	23223
21	522	23222
22	552	23448
23	578	23517
24	602	23485
25	629	23566
26	652	23501
27	673	23368
28	698	23401
29	727	23509
30	758	23713
31	780	23623
32	804	23560
33	830	23600
34	854	23559
35	875	23457
36	900	23428
37	924	23415
38	946	23333
39	971	23313
40	995	23285
41	1018	23227
42	1041	23177
43	1068	23206
44	1092	23187
45	1113	23097
46	1137	23070
47	1165	23111
48	1194	23174
49	1220	23189
50	1242	23123
51	1267	23106
52	1292	23087
53	1316	23063
54	1341	23053
55	1364	23000
56	1388	22974
57	1413	22957
58	1438	22939
59	1466	22971
60	1493	22987
61	1515	22930
62	1539	22892
63	1565	22900
64	1594	22938
65	1624	22984
66	1648	22951
67	1671	22915
68	1694	22867
69	1720	22860
70	1747	22860
71	1770	22824
72	1791	22754
73	1816	22726
74	1840	22703
75	1868	22715
76	1891	22675
77	1915	22645
78	1937	22590
79	1958	22527
80	1980	22470
81	2005	22448
82	2029	22427
83	2050	22356
84	2077	22362
85	2102	22341
86	2125	22307
87	2148	22262
88	2169	22204
89	2192	22167
90	2220	22178
91	2243	22146
92	2265	22096
93	2290	22080
94	2310	22012
95	2334	21978
96	2358	21958
97	2384	21943
98	2408	21915
99	2434	21914
100	2459	21893
101	2483	21867
102	2509	21851
103	2535	21843
104	2561	21830
105	2584	21799
106	2608	21769
107	2633	21748
108	2662	21765
109	2685	21724
110	2711	21714
111	2733	21674
112	2757	21645
113	2778	21594
114	2802	21569
115	2829	21559
116	2853	21534
117	2878	21519
118	2904	21500
119	2930	21491
120	2957	21486
121	2983	21471
122	3005	21429
123	3027	21386
124	3052	21370
125	3079	21364
126	3103	21330
127	3127	21305
128	3151	21278
129	3174	21243
130	3198	21215
131	3224	21202
132	3245	21158
133	3266	21113
134	3291	21087
135	3313	21047
136	3334	21002
137	3356	20966
138	3377	20921
139	3404	20910
140	3431	20904
141	3456	20883
142	3478	20844
143	3500	20808
144	3522	20772
145	3549	20761
146	3572	20731
147	3597	20710
148	3621	20684
149	3646	20665
150	3672	20647
151	3697	20627
152	3721	20602
153	3743	20567
154	3768	20546
155	3793	20521
156	3818	20503
157	3842	20479
158	3864	20438
159	3888	20413
160	3913	20393
161	3937	20368
162	3959	20333
163	3983	20305
164	4004	20264
165	4025	20225
166	4056	20233
167	4085	20231
168	4105	20185
169	4129	20161
170	4153	20138
171	4176	20103
172	4200	20080
173	4223	20051
174	4243	20006
175	4267	19981
176	4287	19935
177	4308	19896
178	4329	19857
179	4352	19828
180	4375	19800
181	4400	19778
182	4422	19743
183	4444	19710
184	4467	19681
185	4493	19666
186	4520	19653
187	4543	19624
188	4565	19592
189	4588	19562
190	4614	19544
191	4637	19517
192	4662	19495
193	4685	19467
194	4705	19424
195	4729	19401
196	4749	19361
197	4773	19333
198	4798	19314
199	4825	19303
200	4853	19293
201	4878	19272
202	4902	19247
203	4925	19218
204	4951	19202
205	4973	19168
206	4997	19144
207	5019	19114
208	5042	19085
209	5067	19064
210	5092	19041
211	5116	19018
212	5140	18994
213	5164	18970
214	5190	18952
215	5213	18924
216	5235	18892
217	5259	18866
218	5284	18846
219	5309	18823
220	5333	18800
221	5359	18782
222	5382	18755
223	5406	18728
224	5427	18694
225	5450	18665
226	5471	18633
227	5496	18612
228	5518	18581
229	5542	18555
230	5565	18527
231	5587	18497
232	5612	18474
233	5633	18442
234	5655	18411
235	5682	18395
236	5708	18378
237	5730	18345
238	5755	18326
239	5781	18307
240	5807	18290
241	5833	18270
242	5857	18247
243	5881	18223
244	5903	18193
245	5927	18169
246	5951	18143
247	5975	18118
248	5998	18090
249	6022	18068
250	6048	18050
251	6071	18022
252	6099	18008
253	6125	17991
254	6147	17959
255	6168	17927
256	6192	17902
257	6216	17879
258	6240	17854
259	6266	17834
260	6290	17811
261	6315	17788
262	6338	17763
263	6365	17744
264	6385	17711
265	6411	17692
266	6435	17666
267	6456	17635
268	6479	17606
269	6500	17574
270	6522	17544
271	6543	17513
272	6567	17488
273	6589	17459
274	6614	17439
275	6636	17409
276	6656	17374
277	6678	17344
278	6699	17313
279	6721	17283
280	6742	17253
281	6769	17236
282	6793	17212
283	6818	17191
284	6842	17165
285	6866	17141
286	6891	17120
287	6916	17099
288	6946	17088
289	6969	17063
290	6997	17048
291	7019	17019
292	7039	16986
293	7063	16961
294	7087	16938
295	7110	16912
296	7131	16879
297	7152	16848
298	7175	16823
299	7197	16793
300	7220	16768
301	7244	16744
302	7266	16714
303	7293	16698
304	7315	16669
305	7340	16647
306	7362	16619
307	7386	16595
308	7411	16573
309	7439	16559
310	7463	16535
311	7488	16513
312	7510	16484
313	7534	16459
314	7554	16428
315	7578	16405
316	7601	16377
317	7628	16359
318	7653	16338
319	7677	16314
320	7701	16291
321	7725	16266
322	7748	16240
