iter	Logloss
0	0.6883478237
1	0.6836217634
2	0.6790628906
3	0.6745626674
4	0.6700178571
5	0.6656058594
6	0.6614118862
7	0.6572692522
8	0.653180692
9	0.6492129464
10	0.6453473772
11	0.6415479911
12	0.6378080915
13	0.6342718192
14	0.6306896205
15	0.6273007812
16	0.6239238281
17	0.6206801897
18	0.617431808
19	0.6142808594
20	0.6112133371
21	0.6082431362
22	0.6053288504
23	0.6025279018
24	0.5997128906
25	0.5969829241
26	0.5943477121
27	0.5917587054
28	0.5892219866
29	0.5867223214
30	0.5842128348
31	0.581793471
32	0.5794149554
33	0.5771618862
34	0.5749216518
35	0.5727303013
36	0.5705621094
37	0.5684565848
38	0.5663922991
39	0.5644320312
40	0.562502846
41	0.5606928013
42	0.5588613839
43	0.557062779
44	0.5553323103
45	0.553646317
46	0.5519896205
47	0.5502946987
48	0.548602846
49	0.5470766741
50	0.5455985491
51	0.5441318638
52	0.5426478237
53	0.5412127232
54	0.5397279576
55	0.5383373326
56	0.5369898996
57	0.5356638393
58	0.5343717076
59	0.5331940848
60	0.532028125
61	0.5307712612
62	0.5296024554
63	0.5284783482
64	0.5273135603
65	0.5261734375
66	0.5250478237
67	0.5240450335
68	0.5229441406
69	0.5219210379
70	0.5209401786
71	0.5199921875
72	0.5190199777
73	0.5180762277
74	0.5171954799
75	0.5162771205
76	0.5154428013
77	0.5145664063
78	0.5138597098
79	0.5130289621
80	0.5121914621
81	0.5114430246
82	0.5106411272
83	0.5098643415
84	0.5091300781
85	0.508565625
86	0.5079023437
87	0.5072098772
88	0.506515904
89	0.5058137277
90	0.5051553013
91	0.5044742187
92	0.5038361607
93	0.5032332031
94	0.5026217634
95	0.5020648438
96	0.5014972098
97	0.5009104353
98	0.5003555804
99	0.4998445871
100	0.4993006138
101	0.4988099888
102	0.4983386719
103	0.4978513393
104	0.4973476562
105	0.4968508371
106	0.4963569196
107	0.4958476562
108	0.4954155692
109	0.4949727679
110	0.4945064174
111	0.4941050781
112	0.4936845982
113	0.4932444754
114	0.4927960379
115	0.4923798549
116	0.4919928013
117	0.4916217634
118	0.4912252232
119	0.490840067
120	0.4904892299
121	0.4901320871
122	0.489784933
123	0.4894192522
124	0.4890987723
125	0.4887353795
126	0.4884359375
127	0.4881281808
128	0.4878048549
129	0.4875094866
130	0.4871991071
131	0.4869148437
132	0.4866349888
133	0.4863245536
134	0.4860176339
135	0.4857085379
136	0.485394308
137	0.4851151786
138	0.4848087054
139	0.4845515067
140	0.4842806362
141	0.4840332031
142	0.4838023437
143	0.4835398996
144	0.4832976004
145	0.4830748884
146	0.4828458147
147	0.4826504464
148	0.4824087054
149	0.4821682478
150	0.4819539621
151	0.4817109375
152	0.4815022321
153	0.4813216518
154	0.4811389509
155	0.4809395089
156	0.4807306362
157	0.4805304129
158	0.4803439732
159	0.4801270089
160	0.4799209263
161	0.4797444754
162	0.4795410714
163	0.4793484933
164	0.4791732143
165	0.4789953125
166	0.4788286272
167	0.4786460379
168	0.4785054687
169	0.478349442
170	0.4782014509
171	0.4780233817
172	0.4778598772
173	0.4776972656
174	0.4775216518
175	0.4773729353
176	0.4772037946
177	0.4770545201
178	0.4769199777
179	0.4767923549
180	0.476688058
181	0.4765555804
182	0.4764094866
183	0.4762498884
184	0.4761314732
185	0.4759934152
186	0.4758564732
187	0.4757285714
188	0.4756287388
189	0.4754972656
190	0.475380692
191	0.4752616629
192	0.4751199777
193	0.4750119978
194	0.4748893973
195	0.474797433
196	0.4746815848
197	0.4745427455
198	0.4744412946
199	0.4743205357
