iter	Passed	Remaining
0	22	22268
1	43	21635
2	60	20271
3	78	19432
4	96	19146
5	114	19046
6	133	18952
7	152	18915
8	171	18917
9	193	19118
10	214	19256
11	231	19063
12	250	19012
13	267	18811
14	284	18652
15	300	18486
16	318	18428
17	336	18336
18	353	18240
19	370	18150
20	387	18057
21	406	18064
22	424	18043
23	443	18039
24	461	17982
25	477	17889
26	496	17900
27	513	17837
28	530	17761
29	548	17746
30	565	17690
31	583	17644
32	600	17597
33	617	17536
34	634	17489
35	651	17456
36	669	17422
37	686	17376
38	703	17335
39	723	17366
40	743	17399
41	763	17409
42	782	17419
43	800	17388
44	819	17389
45	837	17377
46	857	17381
47	875	17354
48	893	17344
49	913	17351
50	930	17322
51	947	17270
52	965	17250
53	982	17212
54	1003	17242
55	1022	17233
56	1039	17201
57	1056	17161
58	1076	17164
59	1092	17121
60	1110	17088
61	1127	17063
62	1145	17037
63	1162	16996
64	1179	16961
65	1195	16920
66	1212	16885
67	1234	16924
68	1259	16989
69	1278	16979
70	1296	16964
71	1315	16952
72	1333	16939
73	1352	16923
74	1372	16928
75	1391	16917
76	1413	16948
77	1432	16932
78	1444	16843
79	1462	16816
80	1480	16801
81	1501	16814
82	1518	16781
83	1537	16771
84	1554	16735
85	1567	16661
86	1586	16647
87	1604	16624
88	1621	16597
89	1640	16586
90	1657	16555
91	1673	16520
92	1690	16488
93	1707	16461
94	1725	16440
95	1743	16421
96	1764	16427
97	1786	16442
98	1807	16452
99	1825	16431
100	1843	16409
101	1861	16388
102	1878	16363
103	1898	16359
104	1920	16370
105	1941	16370
106	1961	16366
107	1981	16368
108	2005	16393
109	2026	16392
110	2044	16371
111	2063	16358
112	2082	16345
113	2101	16330
114	2125	16353
115	2146	16358
116	2164	16338
117	2184	16327
118	2203	16312
119	2223	16302
120	2244	16303
121	2265	16304
122	2285	16297
123	2304	16277
124	2323	16261
125	2342	16250
126	2363	16247
127	2386	16256
128	2405	16243
129	2428	16252
130	2449	16252
131	2469	16242
132	2492	16246
133	2515	16257
134	2536	16253
135	2555	16236
136	2574	16214
137	2593	16198
138	2611	16174
139	2629	16153
140	2648	16136
141	2668	16123
142	2687	16104
143	2706	16086
144	2724	16066
145	2744	16052
146	2766	16055
147	2790	16062
148	2810	16053
149	2829	16031
150	2847	16007
151	2865	15986
152	2883	15962
153	2901	15937
154	2920	15920
155	2940	15907
156	2960	15898
157	2984	15903
158	3007	15908
159	3027	15895
160	3047	15880
161	3068	15871
162	3088	15857
163	3108	15845
164	3127	15829
165	3149	15824
166	3169	15811
167	3188	15791
168	3209	15782
169	3233	15785
170	3256	15789
171	3278	15782
172	3299	15773
173	3320	15764
174	3340	15747
175	3358	15724
176	3376	15701
177	3395	15678
178	3419	15681
179	3440	15671
180	3458	15651
181	3479	15637
182	3500	15627
183	3522	15622
184	3543	15610
185	3563	15593
186	3583	15581
187	3604	15566
188	3624	15551
189	3643	15534
190	3665	15525
191	3684	15506
192	3705	15494
193	3730	15498
194	3750	15484
195	3774	15483
196	3798	15482
197	3817	15460
198	3835	15437
199	3854	15417
200	3873	15399
201	3893	15382
202	3914	15370
203	3936	15358
204	3955	15339
205	3975	15322
206	3997	15314
207	4017	15298
208	4037	15278
209	4055	15256
210	4074	15234
211	4095	15221
212	4114	15203
213	4134	15185
214	4153	15164
215	4173	15147
216	4192	15128
217	4213	15112
218	4233	15098
219	4253	15080
220	4274	15067
221	4295	15053
222	4313	15028
223	4332	15008
224	4351	14987
225	4369	14965
226	4389	14948
227	4410	14934
228	4431	14918
229	4450	14900
230	4469	14879
231	4487	14856
232	4508	14841
233	4530	14829
234	4549	14810
235	4568	14789
236	4589	14775
237	4609	14758
238	4629	14742
239	4650	14725
240	4669	14704
241	4687	14682
242	4711	14678
243	4732	14663
244	4753	14648
245	4778	14647
246	4797	14625
247	4816	14605
248	4836	14586
249	4855	14567
250	4875	14548
251	4895	14532
252	4913	14508
253	4931	14484
254	4950	14462
255	4969	14443
256	4989	14425
257	5010	14410
258	5029	14390
259	5048	14368
260	5067	14347
261	5086	14328
262	5105	14305
263	5123	14283
264	5142	14263
265	5160	14240
266	5179	14218
267	5197	14196
268	5216	14175
269	5234	14153
270	5252	14130
271	5275	14119
272	5297	14108
273	5320	14097
274	5342	14084
275	5362	14067
276	5382	14049
277	5404	14035
278	5425	14019
279	5445	14002
280	5464	13982
281	5484	13962
282	5502	13941
283	5523	13926
284	5543	13907
285	5562	13885
286	5580	13864
287	5598	13841
288	5617	13819
289	5638	13804
290	5662	13795
291	5681	13775
292	5700	13755
293	5720	13737
294	5740	13718
295	5758	13696
296	5778	13677
297	5796	13655
298	5815	13633
299	5834	13612
300	5852	13590
301	5872	13572
302	5893	13557
303	5913	13538
304	5933	13521
305	5955	13507
306	5975	13487
307	5996	13471
308	6016	13455
309	6039	13443
310	6060	13426
311	6082	13412
312	6108	13407
313	6131	13396
314	6152	13378
315	6173	13362
316	6193	13345
317	6213	13325
318	6234	13309
319	6253	13289
320	6278	13280
321	6297	13260
322	6317	13241
323	6338	13224
324	6357	13203
325	6376	13184
326	6396	13165
327	6417	13148
328	6439	13132
329	6459	13114
330	6479	13095
331	6498	13075
332	6519	13058
333	6541	13044
334	6560	13022
335	6580	13003
336	6599	12984
337	6619	12965
338	6642	12951
339	6664	12937
340	6687	12923
341	6712	12914
342	6734	12899
343	6757	12885
344	6783	12878
345	6805	12864
346	6824	12843
347	6844	12824
348	6865	12806
349	6885	12787
350	6905	12767
351	6923	12746
352	6942	12725
353	6963	12706
354	6982	12686
355	7002	12667
356	7023	12650
357	7042	12629
358	7060	12607
359	7079	12586
360	7099	12565
361	7119	12548
362	7138	12527
363	7157	12506
364	7178	12489
365	7199	12471
366	7219	12452
367	7239	12433
368	7261	12417
369	7283	12400
370	7303	12383
371	7322	12362
372	7341	12340
373	7360	12319
374	7379	12298
375	7398	12278
376	7420	12263
377	7441	12245
378	7460	12223
379	7478	12202
380	7498	12182
381	7519	12165
382	7541	12148
383	7560	12128
384	7579	12108
385	7600	12089
386	7619	12068
387	7637	12046
388	7656	12026
389	7674	12004
390	7694	11984
391	7713	11963
392	7733	11945
393	7754	11926
394	7774	11908
395	7794	11888
396	7813	11868
397	7836	11853
398	7857	11836
399	7884	11826
400	7907	11812
401	7929	11795
402	7950	11778
403	7970	11759
404	7990	11739
405	8011	11720
406	8033	11705
407	8052	11684
408	8071	11662
409	8090	11642
410	8109	11621
411	8128	11600
412	8146	11578
413	8165	11558
414	8183	11536
415	8202	11514
416	8220	11493
417	8239	11472
418	8258	11451
419	8280	11435
420	8300	11415
421	8319	11395
422	8338	11374
423	8356	11352
424	8375	11331
425	8397	11315
426	8419	11298
427	8439	11278
428	8457	11257
429	8477	11237
430	8496	11217
431	8516	11197
432	8538	11181
433	8557	11159
434	8575	11138
435	8594	11117
436	8615	11099
437	8633	11078
438	8652	11057
439	8671	11036
440	8689	11014
441	8707	10993
442	8727	10973
443	8751	10958
444	8773	10942
445	8792	10921
446	8813	10903
447	8833	10883
448	8851	10862
449	8870	10841
450	8889	10820
451	8907	10798
452	8925	10777
453	8943	10755
454	8964	10738
455	8982	10716
456	9001	10695
457	9020	10674
458	9038	10653
459	9056	10631
460	9075	10611
461	9096	10592
462	9115	10572
463	9134	10552
464	9152	10530
465	9172	10510
466	9191	10490
467	9213	10472
468	9232	10452
469	9251	10432
470	9271	10413
471	9295	10398
472	9319	10383
473	9339	10364
474	9360	10345
475	9383	10330
476	9405	10312
477	9424	10292
478	9444	10273
479	9464	10253
480	9482	10232
481	9500	10210
482	9519	10189
483	9536	10167
484	9555	10146
485	9573	10125
486	9592	10104
487	9612	10085
488	9630	10063
489	9647	10041
490	9666	10020
491	9684	9999
492	9703	9978
493	9722	9958
494	9744	9941
495	9764	9921
496	9783	9901
497	9802	9880
498	9820	9859
499	9839	9839
500	9860	9820
501	9878	9800
502	9898	9780
503	9924	9766
504	9944	9747
505	9962	9726
506	9981	9705
507	9999	9684
508	10017	9663
509	10035	9641
510	10056	9623
511	10075	9603
512	10096	9584
513	10119	9567
514	10139	9548
515	10159	9529
516	10177	9508
517	10195	9487
518	10215	9467
519	10234	9447
520	10252	9425
521	10272	9406
522	10291	9386
523	10311	9366
524	10328	9345
525	10346	9323
526	10364	9302
527	10385	9283
528	10406	9265
529	10425	9245
530	10443	9224
531	10462	9203
532	10480	9183
533	10499	9162
534	10517	9141
535	10535	9120
536	10553	9098
537	10572	9079
538	10590	9057
539	10610	9038
540	10629	9017
541	10647	8997
542	10666	8976
543	10683	8955
544	10702	8934
545	10720	8914
546	10742	8896
547	10761	8876
548	10780	8856
549	10801	8837
550	10823	8819
551	10843	8800
552	10862	8780
553	10880	8759
554	10897	8737
555	10915	8716
556	10934	8696
557	10957	8679
558	10975	8658
559	10993	8638
560	11011	8617
561	11029	8596
562	11048	8576
563	11067	8555
564	11090	8539
565	11110	8518
566	11129	8498
567	11146	8477
568	11164	8456
569	11183	8436
570	11201	8415
571	11223	8397
572	11240	8376
573	11258	8355
574	11277	8335
575	11296	8315
576	11315	8295
577	11332	8274
578	11351	8253
579	11372	8234
580	11392	8216
581	11412	8196
582	11432	8176
583	11451	8157
584	11475	8140
585	11494	8120
586	11515	8101
587	11537	8084
588	11559	8066
589	11579	8046
590	11597	8026
591	11616	8005
592	11637	7987
593	11656	7967
594	11674	7946
595	11692	7925
596	11710	7905
597	11728	7884
598	11747	7864
599	11767	7844
600	11786	7825
601	11806	7805
602	11825	7785
603	11844	7765
604	11863	7745
605	11882	7725
606	11900	7704
607	11920	7685
608	11939	7665
609	11958	7645
610	11977	7625
611	11995	7604
612	12012	7584
613	12031	7563
614	12050	7543
615	12070	7524
616	12091	7505
617	12110	7485
618	12128	7465
619	12146	7444
620	12164	7424
621	12184	7404
622	12204	7385
623	12223	7365
624	12243	7345
625	12265	7327
626	12285	7308
627	12304	7288
628	12323	7268
629	12341	7248
630	12361	7228
631	12382	7210
632	12402	7190
633	12421	7170
634	12439	7150
635	12459	7130
636	12477	7110
637	12497	7091
638	12519	7072
639	12540	7054
640	12561	7035
641	12582	7016
642	12602	6997
643	12620	6976
644	12639	6956
645	12658	6936
646	12676	6916
647	12695	6896
648	12713	6876
649	12734	6857
650	12756	6838
651	12775	6819
652	12794	6799
653	12814	6779
654	12835	6760
655	12856	6742
656	12881	6725
657	12908	6709
658	12927	6689
659	12948	6670
660	12969	6651
661	12988	6631
662	13006	6611
663	13025	6591
664	13043	6570
665	13062	6550
666	13082	6531
667	13102	6511
668	13121	6492
669	13142	6473
670	13163	6454
671	13186	6436
672	13207	6417
673	13226	6397
674	13244	6376
675	13264	6357
676	13282	6337
677	13301	6317
678	13319	6296
679	13337	6276
680	13356	6256
681	13375	6236
682	13393	6216
683	13412	6196
684	13433	6177
685	13457	6160
686	13479	6141
687	13501	6122
688	13522	6103
689	13542	6084
690	13564	6065
691	13585	6046
692	13604	6026
693	13626	6008
694	13648	5989
695	13668	5970
696	13689	5951
697	13709	5931
698	13730	5912
699	13751	5893
700	13773	5875
701	13794	5855
702	13816	5836
703	13835	5817
704	13854	5797
705	13874	5777
706	13892	5757
707	13912	5738
708	13931	5717
709	13950	5698
710	13971	5679
711	13990	5659
712	14011	5640
713	14033	5621
714	14052	5601
715	14072	5582
716	14092	5562
717	14114	5543
718	14133	5523
719	14152	5503
720	14172	5484
721	14192	5464
722	14212	5445
723	14233	5425
724	14251	5405
725	14270	5385
726	14289	5365
727	14307	5345
728	14326	5325
729	14346	5306
730	14364	5286
731	14384	5266
732	14403	5246
733	14421	5226
734	14445	5208
735	14464	5188
736	14483	5168
737	14500	5148
738	14519	5128
739	14538	5108
740	14557	5088
741	14577	5068
742	14595	5048
743	14614	5028
744	14632	5008
745	14651	4988
746	14671	4969
747	14695	4951
748	14716	4931
749	14736	4912
750	14756	4892
751	14776	4873
752	14795	4853
753	14813	4832
754	14832	4813
755	14852	4793
756	14870	4773
757	14888	4753
758	14906	4733
759	14926	4713
760	14944	4693
761	14963	4673
762	14981	4653
763	14998	4633
764	15017	4613
765	15036	4593
766	15067	4577
767	15098	4560
768	15124	4543
769	15146	4524
770	15167	4505
771	15189	4486
772	15212	4467
773	15234	4448
774	15260	4430
775	15293	4414
776	15315	4395
777	15335	4376
778	15355	4356
779	15376	4336
780	15397	4317
781	15417	4298
782	15437	4278
783	15461	4259
784	15484	4240
785	15506	4221
786	15529	4202
787	15548	4183
788	15568	4163
789	15587	4143
790	15609	4124
791	15629	4104
792	15650	4085
793	15668	4065
794	15692	4046
795	15712	4026
796	15732	4007
797	15753	3987
798	15776	3968
799	15797	3949
800	15816	3929
801	15835	3909
802	15856	3889
803	15878	3870
804	15898	3851
805	15919	3831
806	15940	3812
807	15959	3792
808	15978	3772
809	16000	3753
810	16020	3733
811	16042	3714
812	16062	3694
813	16082	3674
814	16105	3655
815	16129	3637
816	16149	3617
817	16169	3597
818	16190	3578
819	16212	3558
820	16232	3539
821	16254	3519
822	16277	3500
823	16299	3481
824	16321	3462
825	16341	3442
826	16361	3422
827	16382	3403
828	16403	3383
829	16423	3363
830	16443	3344
831	16464	3324
832	16484	3304
833	16507	3285
834	16527	3265
835	16547	3246
836	16567	3226
837	16589	3207
838	16609	3187
839	16630	3167
840	16650	3147
841	16673	3128
842	16693	3108
843	16714	3089
844	16737	3070
845	16761	3051
846	16781	3031
847	16804	3012
848	16826	2992
849	16846	2972
850	16866	2953
851	16888	2933
852	16910	2914
853	16929	2894
854	16948	2874
855	16970	2854
856	16990	2835
857	17011	2815
858	17029	2795
859	17049	2775
860	17071	2756
861	17091	2736
862	17110	2716
863	17128	2696
864	17147	2676
865	17166	2656
866	17187	2636
867	17208	2616
868	17230	2597
869	17250	2577
870	17273	2558
871	17293	2538
872	17312	2518
873	17335	2499
874	17357	2479
875	17379	2460
876	17399	2440
877	17419	2420
878	17439	2400
879	17459	2380
880	17478	2360
881	17499	2341
882	17519	2321
883	17538	2301
884	17558	2281
885	17577	2261
886	17598	2241
887	17619	2222
888	17638	2202
889	17657	2182
890	17675	2162
891	17694	2142
892	17716	2122
893	17738	2103
894	17757	2083
895	17777	2063
896	17798	2043
897	17820	2024
898	17840	2004
899	17861	1984
900	17881	1964
901	17903	1945
902	17922	1925
903	17942	1905
904	17964	1885
905	17986	1866
906	18007	1846
907	18028	1826
908	18051	1807
909	18070	1787
910	18089	1767
911	18108	1747
912	18128	1727
913	18148	1707
914	18167	1687
915	18188	1667
916	18208	1648
917	18230	1628
918	18251	1608
919	18272	1588
920	18292	1569
921	18312	1549
922	18333	1529
923	18355	1509
924	18376	1489
925	18395	1470
926	18416	1450
927	18440	1430
928	18460	1410
929	18483	1391
930	18502	1371
931	18522	1351
932	18542	1331
933	18560	1311
934	18582	1291
935	18603	1272
936	18622	1252
937	18641	1232
938	18660	1212
939	18683	1192
940	18702	1172
941	18723	1152
942	18743	1132
943	18763	1113
944	18783	1093
945	18802	1073
946	18820	1053
947	18839	1033
948	18858	1013
949	18878	993
950	18901	973
951	18921	954
952	18941	934
953	18963	914
954	18981	894
955	19002	874
956	19023	854
