iter	Passed	Remaining
0	348	348288
1	643	320947
2	925	307577
3	1211	301680
4	1494	297344
5	1771	293543
6	2065	292985
7	2338	290031
8	2621	288640
9	2894	286517
10	3172	285253
11	3442	283441
12	3715	282107
13	3994	281303
14	4267	280252
15	4557	280290
16	4842	280012
17	5123	279539
18	5406	279124
19	5697	279196
20	6001	279770
21	6278	279126
22	6564	278835
23	6836	278027
24	7114	277480
25	7390	276859
26	7667	276327
27	7949	275971
28	8223	275358
29	8506	275053
30	8795	274938
31	9066	274266
32	9346	273894
33	9626	273499
34	9894	272816
35	10195	273004
36	10498	273250
37	10778	272867
38	11065	272663
39	11357	272585
40	11638	272221
41	11931	272158
42	12205	271650
43	12488	271351
44	12757	270742
45	13041	270476
46	13321	270119
47	13595	269653
48	13867	269144
49	14153	268909
50	14427	268473
51	14702	268031
52	14984	267739
53	15263	267394
54	15556	267288
55	15833	266900
56	16114	266592
57	16402	266400
58	16692	266225
59	16963	265756
60	17251	265560
61	17535	265295
62	17822	265073
63	18092	264602
64	18381	264415
65	18651	263943
66	18930	263608
67	19204	263218
68	19478	262815
69	19757	262487
70	20033	262133
71	20325	261974
72	20612	261752
73	20884	261335
74	21157	260936
75	21442	260696
76	21714	260288
77	21983	259859
78	22284	259801
79	22549	259323
80	22822	258935
81	23098	258591
82	23373	258238
83	23642	257810
84	23916	257455
85	24199	257186
86	24491	257017
87	24793	256953
88	25072	256638
89	25343	256248
90	25641	256137
91	25929	255908
92	26207	255595
93	26482	255243
94	26777	255093
95	27054	254766
96	27351	254625
97	27622	254242
98	27896	253882
99	28169	253528
100	28443	253177
101	28718	252835
102	28996	252519
103	29269	252163
104	29552	251900
105	29837	251647
106	30129	251454
107	30422	251268
108	30698	250938
109	30983	250685
110	31265	250406
111	31535	250035
112	31814	249732
113	32087	249385
114	32361	249040
115	32636	248716
116	32911	248380
117	33188	248068
118	33462	247736
119	33735	247393
120	34032	247224
121	34316	246964
122	34592	246645
123	34878	246399
124	35174	246224
125	35456	245944
126	35761	245828
127	36035	245491
128	36319	245224
129	36597	244918
130	36879	244643
131	37153	244313
132	37436	244038
133	37708	243697
134	37991	243426
135	38261	243072
136	38552	242855
137	38845	242641
138	39127	242363
139	39420	242153
140	39711	241928
141	39999	241684
142	40296	241495
143	40574	241190
144	40871	240999
145	41140	240640
146	41427	240391
147	41695	240032
148	41972	239724
149	42245	239390
150	42517	239056
151	42813	238855
152	43082	238504
153	43363	238216
154	43636	237890
155	43909	237559
156	44182	237236
157	44461	236941
158	44735	236619
159	45012	236317
160	45303	236084
161	45577	235764
162	45857	235475
163	46128	235140
164	46420	234917
165	46693	234591
166	46978	234327
167	47248	233994
168	47533	233728
169	47813	233441
170	48088	233130
171	48382	232912
172	48658	232602
173	48937	232314
174	49228	232075
175	49503	231767
176	49777	231450
177	50055	231154
178	50324	230817
179	50618	230594
180	50903	230333
181	51180	230030
182	51451	229702
183	51718	229359
184	52003	229097
185	52281	228800
186	52568	228545
187	52847	228254
188	53137	228011
189	53412	227706
190	53683	227381
191	53968	227117
192	54259	226878
193	54541	226598
194	54816	226292
195	55091	225987
196	55366	225681
197	55639	225367
198	55922	225095
199	56189	224757
200	56478	224508
201	56760	224233
202	57062	224035
203	57350	223780
204	57648	223564
205	57935	223304
206	58236	223099
207	58523	222840
208	58830	222655
209	59106	222354
210	59384	222057
211	59662	221765
212	59942	221478
213	60219	221181
214	60490	220859
215	60768	220566
216	61041	220254
217	61327	219990
218	61607	219706
219	61884	219410
220	62166	219128
221	62447	218846
222	62738	218601
223	63022	218327
224	63315	218088
225	63609	217848
226	63895	217581
227	64189	217342
228	64499	217156
229	64794	216920
230	65077	216643
231	65377	216423
232	65663	216153
233	65943	215867
234	66226	215589
235	66499	215277
236	66764	214942
237	67036	214627
238	67304	214305
239	67581	214009
240	67855	213702
241	68139	213427
242	68414	213126
243	68682	212804
244	68956	212499
245	69233	212202
246	69504	211890
247	69772	211568
248	70044	211258
249	70321	210965
250	70590	210646
251	70872	210366
252	71148	210071
253	71419	209760
254	71690	209448
255	71960	209133
256	72231	208823
257	72513	208545
258	72796	208271
259	73069	207966
260	73342	207662
261	73619	207371
262	73891	207066
263	74166	206768
264	74438	206462
265	74704	206139
266	74982	205849
267	75262	205567
268	75532	205258
269	75804	204952
270	76085	204672
271	76350	204350
272	76620	204040
273	76907	203776
274	77176	203464
275	77446	203156
276	77726	202874
277	77999	202573
278	78275	202282
279	78545	201974
280	78828	201699
281	79099	201395
282	79369	201087
283	79640	200784
284	79914	200487
285	80203	200227
